          table_name           |             column_name             |        data_type         | is_nullable |              column_default              
-------------------------------+-------------------------------------+--------------------------+-------------+------------------------------------------
 admin_audit_log               | audit_id                            | uuid                     | NO          | gen_random_uuid()
 admin_audit_log               | entity_type                         | text                     | NO          | 
 admin_audit_log               | entity_id                           | uuid                     | NO          | 
 admin_audit_log               | field_changed                       | text                     | YES         | 
 admin_audit_log               | old_value                           | text                     | YES         | 
 admin_audit_log               | new_value                           | text                     | YES         | 
 admin_audit_log               | changed_by_admin_id                 | uuid                     | YES         | 
 admin_audit_log               | changed_at                          | timestamp with time zone | NO          | now()
 approval_steps                | id                                  | uuid                     | NO          | gen_random_uuid()
 approval_steps                | training_request_id                 | uuid                     | NO          | 
 approval_steps                | participant_id                      | uuid                     | YES         | 
 approval_steps                | step_type                           | text                     | NO          | 
 approval_steps                | step_order                          | integer                  | NO          | 
 approval_steps                | assigned_role                       | text                     | NO          | 
 approval_steps                | assigned_to                         | uuid                     | YES         | 
 approval_steps                | status                              | text                     | YES         | 'pending'::text
 approval_steps                | notes                               | text                     | YES         | 
 approval_steps                | decided_at                          | timestamp with time zone | YES         | 
 approval_steps                | created_at                          | timestamp with time zone | YES         | now()
 asset_requests                | id                                  | uuid                     | NO          | gen_random_uuid()
 asset_requests                | requested_by                        | uuid                     | NO          | 
 asset_requests                | asset_name                          | text                     | NO          | 
 asset_requests                | asset_type                          | text                     | YES         | 
 asset_requests                | department                          | text                     | YES         | 
 asset_requests                | location                            | text                     | YES         | 
 asset_requests                | serial_number                       | text                     | YES         | 
 asset_requests                | purchase_date                       | date                     | YES         | 
 asset_requests                | warranty_expiry                     | date                     | YES         | 
 asset_requests                | condition                           | text                     | YES         | 'good'::text
 asset_requests                | vendor                              | text                     | YES         | 
 asset_requests                | model                               | text                     | YES         | 
 asset_requests                | issued_by_external                  | text                     | YES         | 
 asset_requests                | issued_date                         | date                     | YES         | 
 asset_requests                | notes                               | text                     | YES         | 
 asset_requests                | purchased_from                      | text                     | YES         | 
 asset_requests                | purchase_price                      | numeric                  | YES         | 
 asset_requests                | photo_url                           | text                     | YES         | 
 asset_requests                | status                              | text                     | NO          | 'pending'::text
 asset_requests                | reviewed_by                         | uuid                     | YES         | 
